depth,RPM,Flow,WOB,ROP,well
65.64,54.94729175,3.98687,10.80726,38.77,A
65.95,54.94729175,3.99686,10.80726,42.58,A
66.26,54.94729175,4.02457,10.80726,40.7,A
66.57,54.94729175,4.03922,10.80726,12.80415812,A
66.89,54.94729175,4.04229,10.80726,37.67,A
67.21,54.94729175,4.03767,10.80726,12.80415812,A
67.52,54.94729175,4.03074,10.80726,12.80415812,A
67.82,54.94729175,3.99921,10.80726,34.34,A
68.13,54.94729175,4.00845,10.80726,30.73,A
68.43,54.94729175,3.99228,10.80726,12.80415812,A
68.75,54.94729175,3.98225,10.80726,12.80415812,A
69.05,54.94729175,3.98456,10.80726,36.63,A
69.37,54.94729175,3.96919,10.80726,30.16,A
69.68,54.94729175,3.98611,10.80726,12.80415812,A
69.99,54.94729175,3.97843,10.80726,12.80415812,A
70.3,54.94729175,3.98074,10.80726,12.80415812,A
70.61,54.94729175,3.97994,10.80726,12.80415812,A
70.91,54.94729175,3.9715,10.80726,27.64,A
71.22,54.94729175,3.98918,10.80726,12.80415812,A
71.53,54.94729175,3.97763,10.80726,12.80415812,A
71.84,54.94729175,3.98997,10.80726,12.80415812,A
72.14,54.94729175,3.97071,10.80726,33.3,A
72.45,54.94729175,3.9838,10.80726,12.80415812,A
72.76,54.94729175,3.97843,10.80726,12.80415812,A
73.07,54.94729175,3.97763,10.80726,32.44,A
73.39,54.94729175,3.96378,10.80726,12.80415812,A
73.7,54.94729175,3.97532,10.80726,12.80415812,A
74.01,54.94729175,3.96915,10.80726,29.83,A
74.33,54.94729175,3.96533,10.80726,29.06,A
74.63,54.94729175,3.95454,10.80726,12.80415812,A
74.95,54.94729175,3.96684,10.80726,33.32,A
75.25,54.94729175,3.95609,10.80726,25.56,A
75.57,54.94729175,3.96609,10.80726,12.80415812,A
75.87,54.94729175,3.95837,10.80726,40.7,A
76.18,54.94729175,3.9676,10.80726,45.33,A
76.49,54.94729175,3.95992,10.80726,45.33,A
76.8,54.94729175,3.94686,10.80726,28.92,A
77.11,54.94729175,3.94992,10.80726,12.80415812,A
77.42,54.94729175,3.93758,10.80726,12.80415812,A
77.77,54.94729175,3.86434,10.80726,41.5,A
78.09,54.94729175,3.87047,10.80726,27.8,A
78.67,54.94729175,2.711315497,10.80726,12.80415812,A
78.98,54.94729175,3.92517,10.80726,12.80415812,A
79.28,54.94729175,3.92517,10.80726,12.80415812,A
79.64,54.94729175,3.91669,10.80726,12.80415812,A
79.95,54.94729175,3.91748,10.80726,12.80415812,A
80.31,54.94729175,3.91824,10.80726,20.42,A
80.63,54.94729175,3.94591,10.80726,21.38,A
80.98,54.94729175,3.95053,10.80726,26.47,A
81.3,54.94729175,3.95515,10.80726,12.80415812,A
81.64,54.94729175,3.95977,10.80726,12.80415812,A
81.99,54.94729175,3.96128,10.80726,12.80415812,A
82.31,54.94729175,3.96821,10.80726,12.80415812,A
82.62,54.94729175,3.97593,10.80726,40.19,A
82.93,54.94729175,3.97283,10.80726,12.80415812,A
83.25,54.94729175,3.9536,10.80726,18.21,A
83.57,54.94729175,3.95284,10.80726,45.34,A
83.88,54.94729175,3.95208,10.80726,36.71,A
84.19,54.94729175,3.92509,10.80726,26.71,A
84.51,54.94729175,3.93895,10.80726,41.98,A
84.82,54.94729175,3.92358,10.80726,46.23,A
85.15,54.94729175,3.90435,10.80726,22.68,A
85.46,54.94729175,3.9028,10.80726,40.7,A
85.78,54.94729175,3.91589,10.80726,12.80415812,A
86.12,54.94729175,3.88357,10.80726,12.80415812,A
86.45,54.94729175,3.87278,10.80726,12.80415812,A
86.75,54.94729175,3.86661,10.80726,37.9,A
87.08,54.94729175,3.8512,10.80726,12.80415812,A
87.38,54.94729175,3.92592,2.75737,17.74,A
87.69,54.94729175,3.93512,1.65079,12.80415812,A
88.01,54.94729175,3.94129,1.92744,39.08,A
88.33,54.94729175,3.94591,3.31066,34.34,A
88.67,54.94729175,3.94285,3.90023,12.80415812,A
88.99,54.94729175,3.94591,14.68934,35.42,A
89.29,54.94729175,3.9559,4.14059,43.96,A
89.6,54.94729175,3.94977,4.07256,12.80415812,A
89.93,54.94729175,3.9536,5.69615,12.80415812,A
90.29,54.94729175,3.97513,16.93878,40.3,A
90.59,54.94729175,3.97131,6.80272,24.98,A
90.94,54.94729175,3.97052,12.37188,42.63,A
91.26,54.94729175,3.95746,7.98186,12.80415812,A
91.61,54.94729175,3.96438,14.34467,43.82,A
91.93,54.94729175,3.95284,3.03401,30.63,A
92.23,54.94729175,3.96052,3.69161,22.9,A
92.55,54.94729175,3.9536,14.17234,27.62,A
92.85,54.94729175,3.95053,5.97732,28.18,A
93.19,54.94729175,3.96208,10.60771,28.62,A
93.49,54.94729175,3.95284,12.37188,35.45,A
93.83,54.94729175,3.96825,16.20862,40.78,A
94.15,54.94729175,3.96359,10.67574,33.36,A
94.47,54.94729175,3.95284,4.69388,35.32,A
94.81,54.94729175,3.96052,4.17687,12.80415812,A
95.12,54.94729175,3.95901,2.68934,33.33,A
95.44,54.94729175,3.93819,3.13832,12.80415812,A
95.76,54.94729175,3.94591,1.82313,12.80415812,A
96.07,54.94729175,3.94515,9.46939,12.80415812,A
96.4,54.94729175,3.94822,4.79819,12.80415812,A
96.75,54.94729175,3.9559,6.18141,12.80415812,A
97.06,54.94729175,3.9536,7.18367,32.33,A
97.38,54.94729175,3.95439,5.35147,24.76,A
98.18,54.94729175,3.94591,8.08617,12.80415812,A
98.56,54.94729175,3.93898,10.43537,28.59,A
98.86,54.94729175,3.93206,14.89796,34.1,A
99.17,54.94729175,3.93357,11.12925,16.07,A
99.49,54.94729175,3.93202,10.12245,23.81,A
99.82,54.94729175,3.95208,8.6712,38.05,A
99.95,54.94729175,3.8258,5.90476,38.4,A
100.27,54.94729175,3.83504,3.93651,21.06,A
100.6,54.94729175,3.82962,1.13379,12.80415812,A
100.91,54.94729175,3.84503,8.98413,12.80415812,A
101.22,54.94729175,3.84889,1.17007,21.44,A
101.52,54.94729175,3.84041,1.82313,22.39,A
101.83,54.94729175,3.82425,5.28345,12.80415812,A
102.15,54.94729175,3.82504,1.89569,44.98,A
102.49,54.94729175,3.82118,5.24717,12.80415812,A
102.83,54.94729175,3.82039,5.35147,45.72,A
103.15,54.94729175,3.80422,2.51701,34.91,A
103.47,54.94729175,3.7973,12.19955,12.80415812,A
103.77,54.94729175,3.81812,2.09977,10.55,A
104.09,54.94729175,3.81581,5.21542,12.80415812,A
104.43,54.94729175,3.78885,6.11338,12.80415812,A
104.75,54.94729175,3.78655,3.1746,26.79,A
105.08,54.94729175,3.86267,4.4898,36.86,A
105.39,54.94729175,3.58891,0.40816,12.80415812,A
